Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4623.468262,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4222.415039,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4252.681152,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4192.145020,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4366.187988,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4366.187988,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4328.354004,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4320.784180,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4411.588379,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4615.898926,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4615.898926,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4509.961914,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4570.496582,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4449.424805,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4313.218262,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4116.475098,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4146.744141,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4177.012695,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4404.022461,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4222.415039,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,4025.669434,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3972.701172,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3881.895508,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3881.895508,0
